gtkmm3 3.24.10-1.2
gtksourceview4 4.8.4-2.1
guile 3.0.11-1.1
gupnp 1:1.6.10-1.1
gupnp-igd 1.6.0-2.1
gzip 1.14-2
harfbuzz 14.2.0-1.1
hdparm 9.65-3.1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.4.0-1.1
hwdata 0.407-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
iana-etc 20260530-1
icu 78.3-1.1
imagemagick 7.1.2.24-1.1
imath 3.2.2-6.1
imlib2 1.12.6-1.1
inetutils 2.8-1.1
intel-ucode 20260512-1
inxi 3.3.40.1-1
iproute2 7.0.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.12-1.1
jack 0.126.0-6
jansson 2.15.0-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.1-2.1
jfsutils 1.1.15-9.1
jq 1.8.1-3.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
kbd 2.9.0-1.1
kcolorscheme 6.26.0-2.1
kconfig 6.26.0-1.1
kcoreaddons 6.26.0-1.1
kcrash 6.26.0-1.1
kdbusaddons 6.26.0-1.1
keyutils 1.6.3-4.1
kguiaddons 6.26.0-2.1
ki18n 6.26.0-1.1
kmod 34.2-1
knotifications 6.26.0-1.1
krb5 1.22.2-1.1
kwallet 6.26.0-1.1
kwidgetsaddons 6.26.0-1.1
kwindowsystem 6.26.0-2.1
l-smash 2.14.5-4.1
lame 3.101.r6531-1.1
lcms2 2.19.1-1.1
ldb 2:4.24.3-1.1
leancrypto 1.7.2-1.1
less 1:702-1.1
libaio 0.3.113-4.1
libarchive 3.8.7-1.1
libasan 16.1.1+r12+g301eb08fa2c5-2
libass 0.17.4-2.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatomic 16.1.1+r12+g301eb08fa2c5-2
libavc1394 0.5.4-7.1
libavtp 0.2.0-3.1
libb2 0.98.1-3.1
libbluray 1.4.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libcaca 0.99.beta20-7.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.78-1.1
libcap-ng 0.9.3-1.1
libcddb 1.3.2-9.1
libcdio 2.3.0-1.1
libcloudproviders 0.4.0-1.1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6.3
libdatrie 0.2.14-1.1
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.1.0-1.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdisplay-info 0.3.0-1.1
libdnet 1.18.2-1
libdovi 3.3.2-1.1
libdrm 2.4.133-1.1
libdv 1.0.0-12.1
libdvbpsi 1:1.3.3-4
libdvdcss 1.5.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.1-1.1
libebml 1.4.5-2.1
libebur128 1.2.6-2.1
libedit 20260512_3.1-1.1
libelf 0.195-1
libepoxy 1.5.10-3.1
libevdev 1.13.6-1.1
libevent 2.1.12-5.1
libfdk-aac 2.0.3-2.1
libffi 3.5.2-1.1
libfreeaptx 0.2.2-1.1
libftdi 1.5-10.1
libgcc 16.1.1+r12+g301eb08fa2c5-2
libgcrypt 1.12.2-1.1
libgfortran 16.1.1+r12+g301eb08fa2c5-2
libgirepository 1.86.0-2.1
libgit2 1:1.9.4-1.1
libglvnd 1.7.0-3.1
libgme 0.6.5-1.1
libgomp 16.1.1+r12+g301eb08fa2c5-2
libgoom2 2k4-5
libgpg-error 1.61-1.1
libgsf 1.14.58-1.1
libgudev 238-3.1
libical 4.0.2-1.1
libice 1.1.2-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libinih 62-2.1
libinput 1.31.2-1.1
libisl 0.27-1.1
libjpeg-turbo 3.1.4.1-1.1
libjxl 0.11.2-2.1
libkate 0.4.3-4.1
libksba 1.8.0-1.1
liblc3 1.1.3-2.1
libldac 2.0.2.3-3.1
libldap 2.6.13-1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
liblsan 16.1.1+r12+g301eb08fa2c5-2
libltc 1.3.2-2.1
libmad 0.15.1b-10.1
libmakepkg-dropins 20-1
libmatroska 1.7.1-2.1
libmaxminddb 1.13.3-1.1
libmbim 1.34.0-1.1
libmd 1.2.0-1.1
libmfx 23.2.2-6
libmicrodns 0.2.0-2.1
libmm-glib 1.24.2-1.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-7.1
libmpc 1.4.1-1.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmspack 1:1.11-2.1
libmtp 1.1.23-1.1
libmysofa 1.3.4-1.1
libndp 1.9-1.2
libnetfilter_conntrack 1.1.1-1.1
libnewt 0.52.25-2.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.1-1.1
libnghttp2 1.69.0-1.1
libnghttp3 1.15.0-1.1
libngtcp2 1.22.1-1.1
libnice 0.1.23-1.1
libnl 3.12.0-1.1
libnm 1.56.1-1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.8-1.1
libnsl 2.0.1-2.1
libobjc 16.1.1+r12+g301eb08fa2c5-2
libogg 1.3.6-1.1
libopenmpt 0.8.7-1.1
libopenraw 0.3.7-2.1
libp11-kit 0.26.2-1.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpgm 5.3.128-4.1
libpipeline 1.5.8-1.1
libpipewire 1:1.6.6-1.1
libplacebo 7.360.1-2.1
libplist 2.7.0-3.1
libpng 1.6.58-1.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libqmi 1.38.0-1.1
libqrtr-glib 1.4.0-1.1
libquadmath 16.1.1+r12+g301eb08fa2c5-2
libraqm 0.10.5-1.1
libraw1394 2.1.2-4.1
